"núm_corre","año_ocu","día_ocu","g_hora","g_hora_5","mes_ocu","día_sem_ocu","mupio_ocu","depto_ocu","sexo_per","edad_per","g_edad_80ymás","g_edad_60ymás","edad_quinquenales","mayor_menor","tipo_veh","tipo_eve","fall_les","int_o_noint"
1,2016,1,1,1,1,5,101,1,1,27,4,4,6,1,4,1,2,1
1,2017,1,1,1,1,7,101,1,2,23,3,3,5,1,1,1,2,1
1,2018,1,3,2,1,1,115,1,1,28,4,4,6,1,4,2,2,1
2,2016,1,1,1,1,5,101,1,1,38,6,6,8,1,4,1,2,1
2,2017,1,1,1,1,7,101,1,2,4,1,1,1,2,1,1,2,1
2,2018,1,3,2,1,1,2207,22,2,18,2,2,4,1,4,1,2,1
3,2016,1,3,2,1,5,101,1,2,58,10,10,12,1,1,1,2,2
3,2017,1,1,1,1,7,101,1,2,14,1,1,3,2,1,1,2,1
3,2018,1,2,1,1,1,2102,21,1,42,7,7,9,1,1,2,1,2
4,2016,1,3,2,1,5,101,1,2,38,6,6,8,1,1,1,2,2
4,2017,1,1,1,1,7,110,1,1,20,3,3,5,1,4,2,2,1
4,2018,1,4,3,1,1,1903,19,1,17,2,2,4,2,4,2,2,1
5,2016,1,3,2,1,5,101,1,2,48,8,8,10,1,1,1,2,1
5,2017,1,1,1,1,7,110,1,2,21,3,3,5,1,4,2,2,1
5,2018,1,4,3,1,1,1903,19,1,47,8,8,10,1,4,2,1,2
6,2016,1,2,1,1,5,106,1,1,72,13,11,15,1,3,1,2,1
6,2017,1,1,1,1,7,110,1,2,18,2,2,4,1,4,2,1,2
6,2018,1,1,1,1,1,501,5,1,18,2,2,4,1,3,1,2,1
7,2016,1,2,1,1,5,106,1,1,999,16,12,18,1,3,1,2,1
7,2017,1,2,1,1,7,504,5,2,19,2,2,4,1,14,1,2,1
7,2018,1,1,1,1,1,509,5,1,22,3,3,5,1,4,2,2,1
8,2016,1,2,1,1,5,106,1,2,30,5,5,7,1,3,1,2,1
8,2017,1,2,1,1,7,504,5,2,36,6,6,8,1,14,1,2,1
8,2018,1,4,3,1,1,606,6,1,17,2,2,4,2,4,2,2,1
9,2016,1,3,2,1,5,101,1,2,23,3,3,5,1,14,1,2,1
9,2017,1,2,1,1,7,504,5,2,16,2,2,4,2,14,1,2,1
9,2018,1,4,3,1,1,606,6,1,64,11,11,13,1,4,2,2,1
10,2016,1,3,2,1,5,109,1,2,999,16,12,18,1,1,1,2,1
10,2017,1,3,2,1,7,511,5,1,21,3,3,5,1,4,1,2,1
10,2018,1,2,1,1,1,608,6,1,23,3,3,5,1,3,3,2,1
11,2016,1,2,1,1,5,2201,22,2,54,9,9,11,1,99,1,2,1
11,2017,1,3,2,1,7,511,5,2,36,6,6,8,1,4,1,2,1
11,2018,1,2,1,1,1,608,6,1,57,10,10,12,1,3,3,2,1
12,2016,1,2,1,1,5,2201,22,1,3,1,1,1,2,99,1,2,1
12,2017,1,1,1,1,7,502,5,1,30,5,5,7,1,4,1,2,1
12,2018,1,2,1,1,1,608,6,2,22,3,3,5,1,3,3,2,1
13,2016,1,2,1,1,5,2201,22,2,5,1,1,2,2,99,1,2,1
13,2017,1,4,3,1,7,107,1,1,18,2,2,4,1,4,1,1,2
13,2018,1,2,1,1,1,608,6,2,28,4,4,6,1,3,3,2,1
14,2016,1,2,1,1,5,2201,22,1,8,1,1,2,2,99,1,2,1
14,2017,1,2,1,1,7,1301,13,1,33,5,5,7,1,4,2,2,1
14,2018,1,2,1,1,1,608,6,2,54,9,9,11,1,3,3,2,1
15,2016,1,2,1,1,5,2201,22,1,10,1,1,3,2,99,1,2,1
15,2017,1,2,1,1,7,1301,13,1,26,4,4,6,1,4,2,2,1
15,2018,1,2,1,1,1,608,6,2,20,3,3,5,1,3,3,2,1
16,2016,1,2,1,1,5,2201,22,2,30,5,5,7,1,99,1,2,1
16,2017,1,3,2,1,7,801,8,1,999,16,12,18,1,1,1,2,1
16,2018,1,2,1,1,1,608,6,1,10,1,1,3,2,3,3,2,1
17,2016,1,2,1,1,5,2201,22,2,2,1,1,1,2,99,1,2,1
17,2017,1,3,2,1,7,801,8,2,999,16,12,18,1,2,1,2,1
17,2018,1,2,1,1,1,608,6,1,9,1,1,2,2,3,3,2,1
18,2016,1,2,1,1,5,2201,22,2,12,1,1,3,2,99,1,2,1
18,2017,1,4,3,1,7,802,8,2,16,2,2,4,2,3,1,2,1
18,2018,1,2,1,1,1,608,6,1,4,1,1,1,2,3,3,2,1
19,2016,1,3,2,1,5,2007,20,1,23,3,3,5,1,4,1,1,2
19,2017,1,4,3,1,7,802,8,1,25,4,4,6,1,3,1,2,1
19,2018,1,2,1,1,1,608,6,1,3,1,1,1,2,3,3,2,1
20,2016,1,3,2,1,5,2007,20,1,999,16,12,18,1,3,1,1,2
20,2017,1,4,3,1,7,802,8,2,22,3,3,5,1,3,1,2,1
20,2018,1,2,1,1,1,608,6,2,4,1,1,1,2,3,3,2,1
21,2016,1,4,3,1,5,1905,19,1,30,5,5,7,1,4,1,2,1
21,2017,1,1,1,1,7,203,2,1,23,3,3,5,1,4,2,2,1
21,2018,1,2,1,1,1,608,6,2,70,13,11,15,1,3,3,1,2
22,2016,1,3,2,1,5,1101,11,2,67,12,11,14,1,3,1,2,2
22,2017,1,1,1,1,7,203,2,2,46,8,8,10,1,4,2,2,1
22,2018,1,2,1,1,1,608,6,1,75,14,11,16,1,3,3,1,2
23,2016,1,3,2,1,5,1101,11,2,22,3,3,5,1,3,1,2,2
23,2017,1,3,2,1,7,1703,17,1,23,3,3,5,1,4,1,2,1
23,2018,1,2,1,1,1,1109,11,1,23,3,3,5,1,4,1,2,1
24,2016,1,3,2,1,5,1101,11,2,3,1,1,1,2,3,1,2,2
24,2017,1,2,1,1,7,1710,17,1,22,3,3,5,1,4,2,1,2
24,2018,1,2,1,1,1,1109,11,1,26,4,4,6,1,4,1,2,1
25,2016,1,1,1,1,5,1301,13,2,18,2,2,4,1,2,1,2,2
25,2017,1,2,1,1,7,701,7,1,23,3,3,5,1,14,1,2,1
25,2018,1,4,3,1,1,1104,11,1,39,6,6,8,1,18,1,1,2
26,2016,1,4,3,1,5,1601,16,2,70,13,11,15,1,2,1,2,1
26,2017,1,4,3,1,7,110,1,1,32,5,5,7,1,1,1,2,1
26,2018,1,4,3,1,1,1503,15,1,18,2,2,4,1,4,2,2,1
27,2016,1,4,3,1,5,1801,18,1,73,13,11,15,1,1,1,2,1
27,2017,1,4,3,1,7,110,1,1,35,6,6,8,1,1,1,2,1
27,2018,1,4,3,1,1,1503,15,1,13,1,1,3,2,4,2,2,1
28,2016,1,4,3,1,5,1801,18,1,72,13,11,15,1,1,1,2,1
28,2017,1,3,2,1,7,104,1,1,22,3,3,5,1,4,1,2,1
28,2018,1,4,3,1,1,1703,17,1,35,6,6,8,1,4,2,1,2
29,2016,1,4,3,1,5,1801,18,2,999,16,12,18,1,1,1,2,2
29,2017,1,4,3,1,7,117,1,1,26,4,4,6,1,4,1,2,1
29,2018,1,1,1,1,1,1416,14,2,32,5,5,7,1,11,2,1,2
30,2016,1,4,3,1,5,1801,18,2,5,1,1,2,2,1,1,2,2
30,2017,1,4,3,1,7,117,1,2,25,4,4,6,1,4,1,2,1
30,2018,1,3,2,1,1,1401,14,1,25,4,4,6,1,4,1,2,1
31,2016,1,4,3,1,5,1801,18,1,11,1,1,3,2,1,1,2,2
31,2017,1,3,2,1,7,1021,10,1,34,5,5,7,1,4,1,2,1
31,2018,1,2,1,1,1,314,3,1,53,9,9,11,1,3,1,2,2
32,2016,1,3,2,1,5,401,4,2,12,1,1,3,2,11,1,2,1
32,2017,1,3,2,1,7,1004,10,1,36,6,6,8,1,4,1,1,2
32,2018,1,2,1,1,1,306,3,2,69,12,11,14,1,3,1,1,2
33,2016,1,3,2,1,5,401,4,1,20,3,3,5,1,4,1,2,1
33,2017,1,3,2,1,7,1004,10,1,2,1,1,1,2,4,1,2,1
33,2018,1,2,1,1,1,306,3,1,17,2,2,4,2,3,1,2,1
34,2017,1,2,1,1,7,2001,20,1,34,5,5,7,1,1,1,2,1
34,2016,2,1,1,1,6,101,1,1,19,2,2,4,1,4,1,2,1
34,2018,2,3,2,1,2,101,1,1,27,4,4,6,1,4,1,2,1
35,2017,1,2,1,1,7,2001,20,1,44,7,7,9,1,1,1,2,1
35,2016,2,4,3,1,6,101,1,2,28,4,4,6,1,1,1,2,1
35,2018,2,1,1,1,2,117,1,1,47,8,8,10,1,3,7,2,1
36,2017,1,2,1,1,7,2001,20,1,29,4,4,6,1,1,1,2,1
36,2016,2,4,3,1,6,2007,20,1,23,3,3,5,1,4,2,1,2
36,2018,2,1,1,1,2,117,1,1,29,4,4,6,1,3,7,2,1
37,2017,1,2,1,1,7,2001,20,2,40,7,7,9,1,1,1,2,1
37,2016,2,3,2,1,6,1904,19,1,31,5,5,7,1,2,1,1,2
37,2018,2,1,1,1,2,117,1,1,29,4,4,6,1,3,7,2,1
38,2017,1,2,1,1,7,2001,20,2,29,4,4,6,1,1,1,2,1
38,2016,2,3,2,1,6,1905,19,1,12,1,1,3,2,4,1,2,1
38,2018,2,1,1,1,2,117,1,1,27,4,4,6,1,3,7,2,1
39,2017,1,4,3,1,7,1903,19,2,25,4,4,6,1,1,1,2,1
39,2016,2,4,3,1,6,1903,19,1,61,11,11,13,1,1,1,2,1
39,2018,2,1,1,1,2,117,1,1,30,5,5,7,1,3,7,2,1
40,2017,1,4,3,1,7,1903,19,1,22,3,3,5,1,1,1,2,1
40,2016,2,4,3,1,6,1903,19,2,45,8,8,10,1,1,1,2,2
40,2018,2,1,1,1,2,117,1,1,33,5,5,7,1,3,7,2,1
41,2017,1,4,3,1,7,1903,19,1,10,1,1,3,2,1,1,2,1
41,2016,2,4,3,1,6,1903,19,2,13,1,1,3,2,1,1,2,2
41,2018,2,1,1,1,2,1703,17,1,21,3,3,5,1,4,1,2,2
42,2017,1,4,3,1,7,1903,19,1,16,2,2,4,2,1,1,2,1
42,2016,2,4,3,1,6,1903,19,1,12,1,1,3,2,1,1,2,2
42,2018,2,2,1,1,2,701,7,2,13,1,1,3,2,2,2,2,1
43,2017,1,4,3,1,7,509,5,1,32,5,5,7,1,22,1,2,1
