"núm_corre","día_ocu","año_ocu","mes_ocu","día_sem_ocu","mupio_ocu","depto_ocu","tipo_veh","tipo_eve","g_hora","g_hora_5"
1,1,2016,1,5,101,1,2,1,1,1
1,1,2017,1,7,101,1,12,1,1,1
1,1,2018,1,1,115,1,4,2,3,2
2,1,2016,1,5,101,1,1,1,1,1
2,1,2017,1,7,110,1,4,2,1,1
2,1,2018,1,1,2207,22,1,1,3,2
3,1,2016,1,5,101,1,1,1,3,2
3,1,2017,1,7,504,5,14,1,2,1
3,1,2018,1,1,2102,21,1,2,2,1
4,1,2016,1,5,106,1,3,3,2,1
4,1,2017,1,7,511,5,4,1,3,2
4,1,2018,1,1,1903,19,4,2,4,3
5,1,2016,1,5,106,1,4,1,3,2
5,1,2017,1,7,502,5,4,1,1,1
5,1,2018,1,1,1903,19,4,2,4,3
6,1,2016,1,5,109,1,2,1,3,2
6,1,2017,1,7,107,1,5,1,4,3
6,1,2018,1,1,501,5,1,1,1,1
7,1,2016,1,5,109,1,1,1,1,1
7,1,2017,1,7,107,1,4,1,4,3
7,1,2018,1,1,509,5,4,2,1,1
8,1,2016,1,5,109,1,1,1,1,1
8,1,2017,1,7,1301,13,4,2,2,1
8,1,2018,1,1,606,6,4,2,4,3
9,1,2016,1,5,2201,22,99,1,2,1
9,1,2017,1,7,801,8,2,1,3,2
9,1,2018,1,1,608,6,3,3,2,1
10,1,2016,1,5,2007,20,4,1,3,2
10,1,2017,1,7,802,8,3,1,4,3
10,1,2018,1,1,1109,11,1,1,2,1
11,1,2016,1,5,1905,19,99,1,4,3
11,1,2017,1,7,1616,16,3,2,4,3
11,1,2018,1,1,1104,11,2,1,4,3
12,1,2016,1,5,602,6,1,2,4,3
12,1,2017,1,7,203,2,4,2,1,1
12,1,2018,1,1,1503,15,4,2,4,3
13,1,2016,1,5,1101,11,3,1,3,2
13,1,2017,1,7,1703,17,8,1,3,2
13,1,2018,1,1,1703,17,4,2,4,3
14,1,2016,1,5,917,9,3,1,4,3
14,1,2017,1,7,1710,17,4,2,2,1
14,1,2018,1,1,1416,14,11,2,1,1
15,1,2016,1,5,911,9,3,1,2,1
15,1,2017,1,7,710,7,1,2,1,1
15,1,2018,1,1,1401,14,1,1,3,2
16,1,2016,1,5,920,9,3,1,3,2
16,1,2017,1,7,701,7,9,1,2,1
16,1,2018,1,1,314,3,3,1,2,1
17,1,2016,1,5,901,9,1,1,4,3
17,1,2017,1,7,413,4,3,1,4,3
17,1,2018,1,1,306,3,3,1,2,1
18,1,2016,1,5,1219,12,3,1,4,3
18,1,2017,1,7,110,1,1,1,4,3
18,2,2018,1,2,101,1,2,1,3,2
