"núm_corre","día_ocu","año_ocu","mes_ocu","día_sem_ocu","mupio_ocu","depto_ocu","sexo_per","edad_per","mayor_menor","tipo_veh","g_edad_80ymás","g_edad_60ymás","edad_quinquenales","g_hora","g_hora_5"
1,1,2016,1,5,101,1,1,27,1,4,4,4,6,1,1
1,1,2017,1,7,101,1,1,37,1,12,6,6,8,1,1
1,1,2018,1,1,115,1,1,28,1,4,4,4,6,3,2
2,1,2016,1,5,101,1,1,38,1,4,6,6,8,1,1
2,1,2017,1,7,101,1,1,39,1,1,6,6,8,1,1
2,1,2018,1,1,2207,22,1,19,1,1,2,2,4,3,2
3,1,2016,1,5,101,1,2,58,1,1,10,10,12,3,2
3,1,2017,1,7,110,1,1,20,1,4,3,3,5,1,1
3,1,2018,1,1,2207,22,1,60,1,4,11,11,13,3,2
4,1,2016,1,5,101,1,2,38,1,1,6,6,8,3,2
4,1,2017,1,7,504,5,1,20,1,14,3,3,5,2,1
4,1,2018,1,1,2102,21,1,42,1,1,7,7,9,2,1
5,1,2016,1,5,101,1,2,48,1,1,8,8,10,3,2
5,1,2017,1,7,504,5,1,25,1,1,4,4,6,2,1
5,1,2018,1,1,1903,19,1,17,2,4,2,2,4,4,3
6,1,2016,1,5,106,1,1,72,1,3,13,11,15,2,1
6,1,2017,1,7,511,5,1,21,1,4,3,3,5,3,2
6,1,2018,1,1,1903,19,1,47,1,4,8,8,10,4,3
7,1,2016,1,5,106,1,1,999,1,3,16,12,18,2,1
7,1,2017,1,7,511,5,1,47,1,3,8,8,10,3,2
7,1,2018,1,1,501,5,1,23,1,1,3,3,5,1,1
8,1,2016,1,5,106,1,2,30,1,3,5,5,7,2,1
8,1,2017,1,7,502,5,1,30,1,4,5,5,7,1,1
8,1,2018,1,1,501,5,1,30,1,3,5,5,7,1,1
9,1,2016,1,5,101,1,2,23,1,14,3,3,5,3,2
9,1,2017,1,7,502,5,9,999,9,1,16,12,18,1,1
9,1,2018,1,1,509,5,1,30,1,4,5,5,7,1,1
10,1,2016,1,5,109,1,2,999,1,1,16,12,18,3,2
10,1,2017,1,7,107,1,1,54,1,5,9,9,11,4,3
10,1,2018,1,1,606,6,1,17,2,4,2,2,4,4,3
11,1,2016,1,5,2201,22,2,54,1,99,9,9,11,2,1
11,1,2017,1,7,107,1,1,18,1,4,2,2,4,4,3
11,1,2018,1,1,608,6,1,25,1,3,4,4,6,2,1
12,1,2016,1,5,2201,22,1,3,2,99,1,1,1,2,1
12,1,2017,1,7,107,1,1,29,1,4,4,4,6,4,3
12,1,2018,1,1,1109,11,1,49,1,1,8,8,10,2,1
13,1,2016,1,5,2201,22,2,5,2,99,1,1,2,2,1
13,1,2017,1,7,107,1,1,54,1,1,9,9,11,4,3
13,1,2018,1,1,1109,11,1,23,1,4,3,3,5,2,1
14,1,2016,1,5,2201,22,1,8,2,99,1,1,2,2,1
14,1,2017,1,7,1301,13,1,33,1,4,5,5,7,2,1
14,1,2018,1,1,1104,11,1,18,1,2,2,2,4,4,3
15,1,2016,1,5,2201,22,1,10,2,99,1,1,3,2,1
15,1,2017,1,7,801,8,1,35,1,2,6,6,8,3,2
15,1,2018,1,1,1104,11,1,39,1,18,6,6,8,4,3
16,1,2016,1,5,2201,22,2,30,1,99,5,5,7,2,1
16,1,2017,1,7,801,8,1,999,1,1,16,12,18,3,2
16,1,2018,1,1,1503,15,1,18,1,4,2,2,4,4,3
17,1,2016,1,5,2201,22,2,2,2,99,1,1,1,2,1
17,1,2017,1,7,801,8,2,999,1,2,16,12,18,3,2
17,1,2018,1,1,1703,17,1,35,1,4,6,6,8,4,3
18,1,2016,1,5,2201,22,2,12,2,99,1,1,3,2,1
18,1,2017,1,7,802,8,1,29,1,3,4,4,6,4,3
18,1,2018,1,1,1416,14,1,72,1,11,13,11,15,1,1
19,1,2016,1,5,2007,20,1,23,1,4,3,3,5,3,2
19,1,2017,1,7,802,8,1,52,1,3,9,9,11,4,3
19,1,2018,1,1,1401,14,1,44,1,1,7,7,9,3,2
20,1,2016,1,5,2007,20,1,999,1,3,16,12,18,3,2
20,1,2017,1,7,1616,16,1,30,1,3,5,5,7,4,3
20,1,2018,1,1,1401,14,1,25,1,4,4,4,6,3,2
21,1,2016,1,5,1905,19,1,30,1,4,5,5,7,4,3
21,1,2017,1,7,203,2,1,23,1,4,3,3,5,1,1
21,1,2018,1,1,314,3,1,53,1,3,9,9,11,2,1
22,1,2016,1,5,1101,11,2,67,1,3,12,11,14,3,2
22,1,2017,1,7,1703,17,1,45,1,8,8,8,10,3,2
22,1,2018,1,1,314,3,9,999,9,1,16,12,18,2,1
23,1,2016,1,5,1101,11,2,22,1,3,3,3,5,3,2
23,1,2017,1,7,1703,17,1,23,1,4,3,3,5,3,2
23,1,2018,1,1,306,3,1,42,1,3,7,7,9,2,1
24,1,2016,1,5,1101,11,2,3,2,3,1,1,1,3,2
24,1,2017,1,7,1710,17,1,22,1,4,3,3,5,2,1
24,1,2018,1,1,306,3,1,29,1,1,4,4,6,2,1
25,1,2016,1,5,1301,13,2,18,1,2,2,2,4,1,1
25,1,2017,1,7,710,7,1,32,1,1,5,5,7,1,1
25,2,2018,1,2,101,1,1,44,1,2,7,7,9,3,2
26,1,2016,1,5,1601,16,2,70,1,2,13,11,15,4,3
26,1,2017,1,7,701,7,1,39,1,9,6,6,8,2,1
26,2,2018,1,2,101,1,1,27,1,4,4,4,6,3,2
27,1,2016,1,5,1801,18,1,73,1,1,13,11,15,4,3
27,1,2017,1,7,701,7,1,23,1,14,3,3,5,2,1
27,2,2018,1,2,117,1,1,47,1,3,8,8,10,1,1
28,1,2016,1,5,1801,18,1,72,1,1,13,11,15,4,3
28,1,2017,1,7,413,4,1,28,1,3,4,4,6,4,3
28,2,2018,1,2,1703,17,1,34,1,2,5,5,7,1,1
29,1,2016,1,5,1801,18,2,999,1,1,16,12,18,4,3
29,1,2017,1,7,110,1,1,32,1,1,5,5,7,4,3
29,2,2018,1,2,1703,17,1,21,1,4,3,3,5,1,1
30,1,2016,1,5,1801,18,2,5,2,1,1,1,2,4,3
30,1,2017,1,7,110,1,9,999,9,1,16,12,18,4,3
30,2,2018,1,2,701,7,1,55,1,2,10,10,12,2,1
31,1,2016,1,5,1801,18,1,11,2,1,1,1,3,4,3
31,1,2017,1,7,104,1,1,21,1,5,3,3,5,3,2
31,2,2018,1,2,701,7,1,39,1,3,6,6,8,2,1
32,1,2016,1,5,401,4,2,12,2,11,1,1,3,3,2
32,1,2017,1,7,104,1,1,22,1,4,3,3,5,3,2
32,2,2018,1,2,705,7,1,62,1,3,11,11,13,4,3
33,1,2016,1,5,401,4,1,20,1,4,3,3,5,3,2
33,1,2017,1,7,113,1,1,26,1,4,4,4,6,4,3
33,2,2018,1,2,410,4,1,20,1,3,3,3,5,4,3
34,1,2017,1,7,113,1,9,999,9,1,16,12,18,4,3
34,2,2016,1,6,101,1,1,19,1,4,2,2,4,1,1
34,2,2018,1,2,301,3,1,33,1,9,5,5,7,2,1
35,1,2017,1,7,1021,10,9,999,9,1,16,12,18,3,2
35,2,2016,1,6,101,1,2,28,1,1,4,4,6,4,3
35,2,2018,1,2,301,3,1,34,1,6,5,5,7,2,1
36,1,2017,1,7,1021,10,1,34,1,4,5,5,7,3,2
36,2,2016,1,6,2007,20,1,23,1,4,3,3,5,4,3
36,2,2018,1,2,2104,21,1,999,1,3,16,12,18,3,2
37,1,2017,1,7,1004,10,1,20,1,1,3,3,5,3,2
37,2,2016,1,6,1904,19,1,31,1,2,5,5,7,3,2
37,2,2018,1,2,2104,21,1,999,1,4,16,12,18,3,2
38,1,2017,1,7,1004,10,1,36,1,4,6,6,8,3,2
38,2,2016,1,6,1905,19,1,12,2,4,1,1,3,3,2
38,2,2018,1,2,1501,15,1,37,1,99,6,6,8,4,3
39,1,2017,1,7,2001,20,1,34,1,1,5,5,7,2,1
39,2,2016,1,6,1903,19,1,61,1,1,11,11,13,4,3
39,2,2018,1,2,103,1,1,17,2,4,2,2,4,4,3
40,1,2017,1,7,2001,20,1,44,1,1,7,7,9,2,1
40,2,2016,1,6,1903,19,2,45,1,1,8,8,10,4,3
40,2,2018,1,2,103,1,9,999,9,99,16,12,18,4,3
41,1,2017,1,7,2001,20,1,29,1,1,4,4,6,2,1
41,2,2016,1,6,1903,19,2,13,2,1,1,1,3,4,3
41,2,2018,1,2,507,5,1,60,1,5,11,11,13,3,2
42,1,2017,1,7,1903,19,1,60,1,2,11,11,13,4,3
42,2,2016,1,6,1903,19,1,12,2,1,1,1,3,4,3
42,2,2018,1,2,501,5,9,999,9,2,16,12,18,4,3
43,1,2017,1,7,1903,19,2,25,1,1,4,4,6,4,3
43,2,2016,1,6,1903,19,1,58,1,1,10,10,12,4,3
43,3,2018,1,3,106,1,1,28,1,4,4,4,6,4,3
44,1,2017,1,7,509,5,1,26,1,22,4,4,6,4,3
44,2,2016,1,6,1904,19,2,34,1,2,5,5,7,4,3
44,3,2018,1,3,106,1,1,26,1,4,4,4,6,4,3
45,1,2017,1,7,101,1,1,30,1,4,5,5,7,2,1
45,2,2016,1,6,1904,19,2,52,1,2,9,9,11,4,3
45,3,2018,1,3,101,1,1,33,1,4,5,5,7,2,1
46,1,2017,1,7,603,6,1,18,1,4,2,2,4,3,2
46,2,2016,1,6,1904,19,1,2,2,2,1,1,1,4,3
46,3,2018,1,3,101,1,2,25,1,1,4,4,6,2,1
47,2,2016,1,6,1904,19,1,25,1,2,4,4,6,4,3
47,2,2017,1,1,110,1,1,24,1,3,3,3,5,1,1
47,3,2018,1,3,608,6,1,27,1,1,4,4,6,2,1
48,2,2016,1,6,1904,19,2,25,1,2,4,4,6,4,3
48,2,2017,1,1,117,1,1,25,1,4,4,4,6,1,1
48,3,2018,1,3,608,6,9,999,9,2,16,12,18,2,1
49,2,2016,1,6,1904,19,1,35,1,1,6,6,8,4,3
49,2,2017,1,1,101,1,1,44,1,2,7,7,9,3,2
49,3,2018,1,3,1016,10,9,999,9,12,16,12,18,4,3
50,2,2016,1,6,508,5,1,43,1,3,7,7,9,2,1
50,2,2017,1,1,101,1,1,23,1,4,3,3,5,3,2
50,3,2018,1,3,1701,17,1,23,1,1,3,3,5,4,3
51,2,2016,1,6,501,5,1,31,1,4,5,5,7,3,2
51,2,2017,1,1,2102,21,1,30,1,5,5,5,7,2,1
51,3,2018,1,3,1701,17,1,37,1,4,6,6,8,4,3
52,2,2016,1,6,501,5,2,15,2,1,2,2,4,3,2
52,2,2017,1,1,2102,21,1,36,1,4,6,6,8,2,1
52,3,2018,1,3,1409,14,1,29,1,5,4,4,6,4,3
53,2,2016,1,6,501,5,2,16,2,1,2,2,4,3,2
53,2,2017,1,1,2106,21,1,44,1,3,7,7,9,3,2
53,3,2018,1,3,1409,14,1,58,1,3,10,10,12,4,3
54,2,2016,1,6,1301,13,1,33,1,4,5,5,7,4,3
54,2,2017,1,1,2106,21,1,62,1,3,11,11,13,3,2
54,3,2018,1,3,701,7,9,999,9,3,16,12,18,2,1
55,2,2016,1,6,1508,15,1,22,1,9,3,3,5,3,2
55,2,2017,1,1,2001,20,1,46,1,3,8,8,10,3,2
55,3,2018,1,3,404,4,1,57,1,1,10,10,12,3,2
56,2,2016,1,6,1508,15,1,29,1,9,4,4,6,3,2
56,2,2017,1,1,2001,20,2,28,1,4,4,4,6,3,2
56,3,2018,1,3,404,4,1,28,1,4,4,4,6,3,2
57,2,2016,1,6,1508,15,1,26,1,9,4,4,6,3,2
57,2,2017,1,1,2001,20,1,61,1,2,11,11,13,3,2
57,4,2018,1,4,101,1,1,54,1,5,9,9,11,3,2
58,2,2016,1,6,1508,15,1,29,1,9,4,4,6,3,2
58,2,2017,1,1,2001,20,9,999,9,2,16,12,18,3,2
58,4,2018,1,4,101,1,1,32,1,4,5,5,7,3,2
59,2,2016,1,6,1508,15,2,29,1,9,4,4,6,3,2
59,2,2017,1,1,513,5,1,42,1,3,7,7,9,3,2
59,4,2018,1,4,1602,16,1,42,1,12,7,7,9,3,2
60,2,2016,1,6,1508,15,1,28,1,9,4,4,6,3,2
60,2,2017,1,1,513,5,1,24,1,4,3,3,5,3,2
60,4,2018,1,4,1501,15,1,27,1,3,4,4,6,4,3
61,2,2016,1,6,1508,15,2,17,2,9,2,2,4,3,2
61,2,2017,1,1,501,5,1,34,1,1,5,5,7,3,2
61,4,2018,1,4,1501,15,2,20,1,2,3,3,5,4,3
62,2,2016,1,6,1508,15,1,26,1,9,4,4,6,3,2
62,2,2017,1,1,501,5,1,67,1,2,12,11,14,3,2
62,4,2018,1,4,414,4,1,40,1,3,7,7,9,3,2
63,2,2016,1,6,1508,15,1,29,1,9,4,4,6,3,2
63,2,2017,1,1,507,5,1,999,1,4,16,12,18,3,2
63,4,2018,1,4,414,4,1,19,1,4,2,2,4,3,2
64,2,2016,1,6,1508,15,1,29,1,9,4,4,6,3,2
64,2,2017,1,1,101,1,1,50,1,5,9,9,11,4,3
64,5,2018,1,5,101,1,1,22,1,4,3,3,5,1,1
65,2,2016,1,6,1508,15,1,30,1,9,5,5,7,3,2
65,2,2017,1,1,101,1,1,999,1,4,16,12,18,4,3
65,5,2018,1,5,108,1,1,25,1,1,4,4,6,1,1
66,2,2016,1,6,1508,15,1,38,1,9,6,6,8,3,2
66,2,2017,1,1,705,7,1,27,1,1,4,4,6,3,2
66,5,2018,1,5,511,5,1,57,1,6,10,10,12,2,1
67,2,2016,1,6,1409,14,1,27,1,99,4,4,6,3,2
67,2,2017,1,1,705,7,1,31,1,14,5,5,7,3,2
67,5,2018,1,5,511,5,1,56,1,6,10,10,12,2,1
68,2,2016,1,6,1409,14,2,44,1,99,7,7,9,3,2
68,2,2017,1,1,401,4,1,57,1,1,10,10,12,3,2
68,5,2018,1,5,501,5,1,28,1,4,4,4,6,2,1
69,2,2016,1,6,1409,14,1,37,1,99,6,6,8,3,2
69,2,2017,1,1,303,3,1,56,1,6,10,10,12,4,3
69,5,2018,1,5,1002,10,1,51,1,12,9,9,11,2,1
70,2,2016,1,6,705,7,1,43,1,9,7,7,9,2,1
70,2,2017,1,1,303,3,1,61,1,6,11,11,13,4,3
70,5,2018,1,5,1002,10,1,32,1,4,5,5,7,2,1
71,2,2016,1,6,705,7,1,24,1,9,3,3,5,2,1
71,2,2017,1,1,117,1,1,18,1,4,2,2,4,4,3
71,5,2018,1,5,1107,11,2,18,1,4,2,2,4,3,2
72,2,2016,1,6,705,7,1,23,1,9,3,3,5,2,1
72,3,2017,1,2,106,1,1,50,1,1,9,9,11,3,2
72,5,2018,1,5,1107,11,9,999,9,5,16,12,18,3,2
73,2,2016,1,6,705,7,1,4,2,9,1,1,1,2,1
73,3,2017,1,2,106,1,1,23,1,4,3,3,5,3,2
73,5,2018,1,5,1609,16,1,32,1,9,5,5,7,2,1
74,2,2016,1,6,705,7,1,27,1,9,4,4,6,2,1
74,3,2017,1,2,116,1,1,26,1,1,4,4,6,3,2
74,5,2018,1,5,1609,16,1,32,1,3,5,5,7,2,1
75,2,2016,1,6,705,7,2,14,2,9,1,1,3,2,1
75,3,2017,1,2,116,1,9,999,9,3,16,12,18,3,2
75,5,2018,1,5,1804,18,1,43,1,3,7,7,9,2,1
76,2,2016,1,6,705,7,2,46,1,9,8,8,10,2,1
76,3,2017,1,2,1904,19,1,50,1,3,9,9,11,2,1
76,5,2018,1,5,1804,18,1,17,2,4,2,2,4,2,1
77,2,2016,1,6,705,7,2,36,1,9,6,6,8,2,1
77,3,2017,1,2,110,1,1,25,1,4,4,4,6,4,3
77,6,2018,1,6,101,1,1,23,1,1,3,3,5,2,1
78,2,2016,1,6,705,7,2,20,1,9,3,3,5,2,1
78,3,2017,1,2,501,5,9,999,9,1,16,12,18,4,3
78,6,2018,1,6,101,1,1,33,1,1,5,5,7,1,1
79,2,2016,1,6,705,7,1,30,1,9,5,5,7,2,1
79,3,2017,1,2,1323,13,1,47,1,3,8,8,10,4,3
79,6,2018,1,6,101,1,1,27,1,1,4,4,6,1,1
80,2,2016,1,6,705,7,2,27,1,9,4,4,6,2,1
80,3,2017,1,2,917,9,1,44,1,1,7,7,9,3,2
80,6,2018,1,6,101,1,9,999,9,4,16,12,18,4,3
81,2,2016,1,6,705,7,2,30,1,9,5,5,7,2,1
81,3,2017,1,2,917,9,1,35,1,1,6,6,8,3,2
81,6,2018,1,6,1217,12,9,999,9,5,16,12,18,3,2
82,2,2016,1,6,705,7,1,52,1,9,9,9,11,2,1
82,3,2017,1,2,920,9,1,32,1,3,5,5,7,3,2
82,6,2018,1,6,1804,18,9,999,9,5,16,12,18,3,2
83,2,2016,1,6,705,7,1,36,1,9,6,6,8,2,1
83,3,2017,1,2,920,9,1,31,1,9,5,5,7,3,2
83,6,2018,1,6,1701,17,1,29,1,1,4,4,6,2,1
84,2,2016,1,6,705,7,1,45,1,9,8,8,10,2,1
84,3,2017,1,2,1504,15,1,28,1,4,4,4,6,2,1
84,6,2018,1,6,1701,17,1,29,1,4,4,4,6,2,1
85,2,2016,1,6,705,7,2,29,1,9,4,4,6,2,1
85,3,2017,1,2,1504,15,1,14,2,4,1,1,3,2,1
85,6,2018,1,6,1411,14,9,999,9,7,16,12,18,3,2
86,2,2016,1,6,705,7,2,26,1,9,4,4,6,2,1
86,3,2017,1,2,301,3,1,16,2,4,2,2,4,4,3
86,6,2018,1,6,101,1,2,36,1,1,6,6,8,4,3
87,2,2016,1,6,705,7,2,1,2,9,1,1,1,2,1
87,4,2017,1,3,107,1,1,23,1,4,3,3,5,3,2
87,6,2018,1,6,101,1,1,24,1,4,3,3,5,4,3
88,2,2016,1,6,705,7,1,31,1,9,5,5,7,2,1
88,4,2017,1,3,107,1,9,999,9,12,16,12,18,3,2
88,6,2018,1,6,501,5,1,58,1,6,10,10,12,2,1
89,2,2016,1,6,705,7,1,8,2,9,1,1,2,2,1
89,4,2017,1,3,1405,14,1,31,1,4,5,5,7,3,2
89,6,2018,1,6,501,5,1,28,1,4,4,4,6,2,1
90,2,2016,1,6,705,7,1,7,2,9,1,1,2,2,1
90,4,2017,1,3,1405,14,1,47,1,14,8,8,10,3,2
90,6,2018,1,6,112,1,9,999,9,99,16,12,18,4,3
91,2,2016,1,6,701,7,1,28,1,4,4,4,6,4,3
91,4,2017,1,3,306,3,1,30,1,12,5,5,7,2,1
91,6,2018,1,6,1307,13,1,25,1,4,4,4,6,3,2
92,2,2016,1,6,314,3,1,25,1,14,4,4,6,4,3
92,4,2017,1,3,306,3,1,50,1,5,9,9,11,2,1
92,6,2018,1,6,1102,11,9,999,9,99,16,12,18,3,2
93,3,2016,1,7,101,1,1,24,1,4,3,3,5,4,3
